data,1USD,1EUR,pelny numer tabeli
20190426,3.8508,4.2906,082/A/NBP/2019
20190429,3.8468,4.2950,083/A/NBP/2019
20190430,3.8291,4.2911,084/A/NBP/2019
20190502,3.8177,4.2795,085/A/NBP/2019
20190506,3.8313,4.2847,086/A/NBP/2019
20190507,3.8278,4.2858,087/A/NBP/2019
20190508,3.8325,4.2914,088/A/NBP/2019
20190509,3.8410,4.2977,089/A/NBP/2019
20190510,3.8242,4.2955,090/A/NBP/2019
20190513,3.8321,4.3029,091/A/NBP/2019
20190514,3.8323,4.3085,092/A/NBP/2019
20190515,3.8457,4.3128,093/A/NBP/2019
20190516,3.8259,4.2929,094/A/NBP/2019
20190517,3.8545,4.3072,095/A/NBP/2019
20190520,3.8543,4.2995,096/A/NBP/2019
20190521,3.8625,4.3055,097/A/NBP/2019
20190522,3.8620,4.3098,098/A/NBP/2019
20190523,3.8696,4.3107,099/A/NBP/2019
20190524,3.8436,4.2989,100/A/NBP/2019
20190527,3.8374,4.2952,101/A/NBP/2019
20190528,3.8386,4.2967,102/A/NBP/2019
20190529,3.8554,4.3007,103/A/NBP/2019
20190530,3.8548,4.2919,104/A/NBP/2019
20190531,3.8498,4.2916,105/A/NBP/2019
20190603,3.8292,4.2809,106/A/NBP/2019
20190604,3.8041,4.2788,107/A/NBP/2019
20190605,3.7929,4.2782,108/A/NBP/2019
20190606,3.8065,4.2783,109/A/NBP/2019
20190607,3.7958,4.2762,110/A/NBP/2019
20190610,3.7745,4.2640,111/A/NBP/2019
20190611,3.7722,4.2675,112/A/NBP/2019
20190612,3.7630,4.2650,113/A/NBP/2019
20190613,3.7736,4.2610,114/A/NBP/2019
20190614,3.7727,4.2554,115/A/NBP/2019
20190617,3.7989,4.2599,116/A/NBP/2019
20190618,3.8097,4.2631,117/A/NBP/2019
20190619,3.8104,4.2673,118/A/NBP/2019
20190621,3.7705,4.2622,119/A/NBP/2019
20190624,3.7360,4.2538,120/A/NBP/2019
20190625,3.7376,4.2554,121/A/NBP/2019
20190626,3.7540,4.2642,122/A/NBP/2019
20190627,3.7426,4.2561,123/A/NBP/2019
20190628,3.7336,4.2520,124/A/NBP/2019
20190701,3.7430,4.2406,125/A/NBP/2019
20190702,3.7593,4.2457,126/A/NBP/2019
20190703,3.7596,4.2442,127/A/NBP/2019
20190704,3.7618,4.2427,128/A/NBP/2019
20190705,3.7689,4.2445,129/A/NBP/2019
20190708,3.7857,4.2519,130/A/NBP/2019
20190709,3.8074,4.2637,131/A/NBP/2019
20190710,3.8066,4.2729,132/A/NBP/2019
20190711,3.7859,4.2682,133/A/NBP/2019
20190712,3.7889,4.2669,134/A/NBP/2019
20190715,3.7856,4.2673,135/A/NBP/2019
20190716,3.7867,4.2582,136/A/NBP/2019
20190717,3.8038,4.2644,137/A/NBP/2019
20190718,3.7933,4.2635,138/A/NBP/2019
20190719,3.7855,4.2592,139/A/NBP/2019
20190722,3.7869,4.2480,140/A/NBP/2019
20190723,3.7997,4.2492,141/A/NBP/2019
20190724,3.8229,4.2581,142/A/NBP/2019
20190725,3.8199,4.2514,143/A/NBP/2019
20190726,3.8296,4.2645,144/A/NBP/2019
20190729,3.8453,4.2773,145/A/NBP/2019
20190730,3.8493,4.2906,146/A/NBP/2019
20190731,3.8504,4.2911,147/A/NBP/2019
20190801,3.8860,4.2931,148/A/NBP/2019
20190802,3.8829,4.3085,149/A/NBP/2019
20190805,3.8739,4.3182,150/A/NBP/2019
20190806,3.8482,4.3096,151/A/NBP/2019
20190807,3.8597,4.3194,152/A/NBP/2019
20190808,3.8538,4.3220,153/A/NBP/2019
20190809,3.8613,4.3225,154/A/NBP/2019
20190812,3.8711,4.3262,155/A/NBP/2019
20190813,3.8714,4.3327,156/A/NBP/2019
20190814,3.8890,4.3463,157/A/NBP/2019
20190816,3.9281,4.3543,158/A/NBP/2019
20190819,3.9199,4.3519,159/A/NBP/2019
20190820,3.9408,4.3656,160/A/NBP/2019
20190821,3.9210,4.3513,161/A/NBP/2019
20190822,3.9337,4.3660,162/A/NBP/2019
20190823,3.9371,4.3572,163/A/NBP/2019
20190826,3.9335,4.3719,164/A/NBP/2019
20190827,3.9309,4.3684,165/A/NBP/2019
20190828,3.9548,4.3857,166/A/NBP/2019
20190829,3.9586,4.3845,167/A/NBP/2019
20190830,3.9717,4.3844,168/A/NBP/2019
20190902,3.9819,4.3691,169/A/NBP/2019
20190903,3.9882,4.3667,170/A/NBP/2019
20190904,3.9414,4.3385,171/A/NBP/2019
20190905,3.9330,4.3409,172/A/NBP/2019
20190906,3.9315,4.3392,173/A/NBP/2019
20190909,3.9310,4.3373,174/A/NBP/2019
20190910,3.9273,4.3350,175/A/NBP/2019
20190911,3.9324,4.3357,176/A/NBP/2019
20190912,3.9362,4.3400,177/A/NBP/2019
20190913,3.9120,4.3396,178/A/NBP/2019
20190916,3.9116,4.3262,179/A/NBP/2019
20190917,3.9412,4.3410,180/A/NBP/2019
20190918,3.9322,4.3419,181/A/NBP/2019
20190919,3.9267,4.3425,182/A/NBP/2019
20190920,3.9319,4.3438,183/A/NBP/2019
20190923,3.9983,4.3891,184/A/NBP/2019
20190924,3.9838,4.3796,185/A/NBP/2019
20190925,3.9856,4.3844,186/A/NBP/2019
20190926,4.0092,4.3861,187/A/NBP/2019
20190927,4.0154,4.3866,188/A/NBP/2019
20190930,4.0000,4.3736,189/A/NBP/2019
20191001,4.0147,4.3734,190/A/NBP/2019
20191002,4.0152,4.3788,191/A/NBP/2019
20191003,3.9652,4.3475,192/A/NBP/2019
20191004,3.9469,4.3311,193/A/NBP/2019
20191007,3.9498,4.3304,194/A/NBP/2019
20191008,3.9405,4.3310,195/A/NBP/2019
20191009,3.9382,4.3257,196/A/NBP/2019
20191010,3.9226,4.3217,197/A/NBP/2019
20191011,3.9145,4.3097,198/A/NBP/2019
20191014,3.8958,4.2969,199/A/NBP/2019
20191015,3.8952,4.2949,200/A/NBP/2019
20191016,3.8934,4.2970,201/A/NBP/2019
20191017,3.8638,4.2849,202/A/NBP/2019
20191018,3.8503,4.2844,203/A/NBP/2019
20191021,3.8307,4.2775,204/A/NBP/2019
20191022,3.8408,4.2792,205/A/NBP/2019
20191023,3.8473,4.2778,206/A/NBP/2019
20191024,3.8448,4.2800,207/A/NBP/2019
20191025,3.8452,4.2762,208/A/NBP/2019
20191028,3.8529,4.2732,209/A/NBP/2019
20191029,3.8598,4.2757,210/A/NBP/2019
20191030,3.8388,4.2655,211/A/NBP/2019
20191031,3.8174,4.2617,212/A/NBP/2019
20191104,3.8099,4.2539,213/A/NBP/2019
20191105,3.8308,4.2631,214/A/NBP/2019
20191106,3.8497,4.2697,215/A/NBP/2019
20191107,3.8502,4.2653,216/A/NBP/2019
20191108,3.8625,4.2638,217/A/NBP/2019
20191112,3.8780,4.2788,218/A/NBP/2019
20191113,3.8902,4.2850,219/A/NBP/2019
20191114,3.9011,4.2916,220/A/NBP/2019
20191115,3.8848,4.2807,221/A/NBP/2019
20191118,3.8767,4.2884,222/A/NBP/2019
20191119,3.8786,4.2928,223/A/NBP/2019
20191120,3.8792,4.2917,224/A/NBP/2019
20191121,3.8737,4.2948,225/A/NBP/2019
20191122,3.8853,4.2975,226/A/NBP/2019
20191125,3.9036,4.2990,227/A/NBP/2019
20191126,3.9039,4.2999,228/A/NBP/2019
20191127,3.9154,4.3107,229/A/NBP/2019
20191128,3.9252,4.3230,230/A/NBP/2019
20191129,3.9288,4.3236,231/A/NBP/2019
20191202,3.9047,4.3008,232/A/NBP/2019
20191203,3.8706,4.2900,233/A/NBP/2019
20191204,3.8647,4.2792,234/A/NBP/2019
20191205,3.8566,4.2777,235/A/NBP/2019
20191206,3.8500,4.2721,236/A/NBP/2019
20191209,3.8704,4.2830,237/A/NBP/2019
20191210,3.8711,4.2880,238/A/NBP/2019
20191211,3.8660,4.2851,239/A/NBP/2019
20191212,3.8505,4.2846,240/A/NBP/2019
20191213,3.8234,4.2747,241/A/NBP/2019
20191216,3.8311,4.2659,242/A/NBP/2019
20191217,3.8211,4.2605,243/A/NBP/2019
20191218,3.8302,4.2644,244/A/NBP/2019
20191219,3.8281,4.2632,245/A/NBP/2019
20191220,3.8311,4.2604,246/A/NBP/2019
20191223,3.8394,4.2554,247/A/NBP/2019
20191224,3.8487,4.2624,248/A/NBP/2019
20191227,3.8266,4.2624,249/A/NBP/2019
20191230,3.8027,4.2588,250/A/NBP/2019
20191231,3.7977,4.2585,251/A/NBP/2019
